TravelDate,DayOFWeek,TubeJourneyCount,BusJourneyCount
20210101,Friday,229000,836000
20210102,Saturday,387000,1434000
20210103,Sunday,326000,1112000
20210104,Monday,724000,1958000
20210105,Tuesday,686000,1892000
20210106,Wednesday,677000,1896000
20210107,Thursday,671000,1874000
20210108,Friday,679000,1905000
20210109,Saturday,380000,1471000
20210110,Sunday,253000,1012000
20210111,Monday,666000,1869000
20210112,Tuesday,662000,1852000
20210113,Wednesday,673000,1836000
20210114,Thursday,666000,1815000
20210115,Friday,695000,1977000
20210116,Saturday,382000,1414000
20210117,Sunday,293000,1110000
20210118,Monday,682000,1908000
20210119,Tuesday,694000,1911000
20210120,Wednesday,691000,1862000
20210121,Thursday,704000,1948000
20210122,Friday,726000,2045000
20210123,Saturday,432000,1583000
20210124,Sunday,261000,999000
20210125,Monday,711000,1985000
20210126,Tuesday,711000,1939000
20210127,Wednesday,716000,1964000
20210128,Thursday,730000,1996000
20210129,Friday,754000,2092000
20210130,Saturday,422000,1531000
20210131,Sunday,314000,1161000
20210201,Monday,730000,2018000
20210202,Tuesday,740000,2044000
20210203,Wednesday,752000,2011000
20210204,Thursday,749000,2029000
20210205,Friday,798000,2218000
20210206,Saturday,474000,1668000
20210207,Sunday,293000,1062000
20210208,Monday,739000,1932000
20210209,Tuesday,744000,1936000
20210210,Wednesday,777000,2055000
20210211,Thursday,782000,2052000
20210212,Friday,801000,2155000
20210213,Saturday,498000,1662000
20210214,Sunday,335000,1165000
20210215,Monday,769000,2019000
20210216,Tuesday,781000,2016000
20210217,Wednesday,807000,2047000
20210218,Thursday,803000,2059000
20210219,Friday,821000,2166000
20210220,Saturday,587000,1806000
20210221,Sunday,376000,1256000
20210222,Monday,803000,2008000
20210223,Tuesday,846000,2148000
20210224,Wednesday,857000,2148000
20210225,Thursday,864000,2170000
20210226,Friday,913000,2390000
20210227,Saturday,642000,1947000
20210228,Sunday,398000,1315000
20210301,Monday,852000,2266000
20210302,Tuesday,868000,2256000
20210303,Wednesday,868000,2191000
20210304,Thursday,877000,2267000
20210305,Friday,937000,2395000
20210306,Saturday,631000,1849000
20210307,Sunday,428000,1338000
20210308,Monday,952000,2695000
20210309,Tuesday,1021000,2867000
20210310,Wednesday,997000,2743000
20210311,Thursday,1035000,2934000
20210312,Friday,1050000,3068000
20210313,Saturday,632000,2003000
20210314,Sunday,431000,1409000
20210315,Monday,1016000,2986000
20210316,Tuesday,1040000,3011000
20210317,Wednesday,1071000,2928000
20210318,Thursday,1043000,2991000
20210319,Friday,1123000,3164000
20210320,Saturday,699000,1968000
20210321,Sunday,477000,1411000
20210322,Monday,1049000,3040000
20210323,Tuesday,1084000,3059000
20210324,Wednesday,1078000,3029000
20210325,Thursday,1088000,3058000
20210326,Friday,1096000,3092000
20210327,Saturday,753000,2170000
20210328,Sunday,444000,1389000
20210329,Monday,1124000,3094000
20210330,Tuesday,1259000,3241000
20210331,Wednesday,1212000,3120000
20210401,Thursday,1187000,2938000
20210402,Friday,778000,2090000
20210403,Saturday,736000,2092000
20210404,Sunday,611000,1478000
20210405,Monday,557000,1607000
20210406,Tuesday,1091000,2574000
20210407,Wednesday,1146000,2475000
20210408,Thursday,1137000,2550000
20210409,Friday,1174000,2625000
20210410,Saturday,776000,2051000
20210411,Sunday,611000,1575000
20210412,Monday,1476000,3118000
20210413,Tuesday,1453000,3031000
20210414,Wednesday,1500000,3014000
20210415,Thursday,1505000,2890000
20210416,Friday,1577000,3152000
20210417,Saturday,1371000,2733000
20210418,Sunday,891000,1981000
20210419,Monday,1401000,3477000
20210420,Tuesday,1553000,3635000
20210421,Wednesday,1517000,3603000
20210422,Thursday,1579000,3650000
20210423,Friday,1686000,3654000
20210424,Saturday,1488000,2803000
20210425,Sunday,918000,1944000
20210426,Monday,1447000,3553000
20210427,Tuesday,1551000,3646000
20210428,Wednesday,1557000,3575000
20210429,Thursday,1632000,3677000
20210430,Friday,1723000,3800000
20210501,Saturday,1443000,2841000
20210502,Sunday,993000,2018000
20210503,Monday,934000,2077000
20210504,Tuesday,1532000,3596000
20210505,Wednesday,1590000,3656000
20210506,Thursday,1639000,3663000
20210507,Friday,1737000,3827000
20210508,Saturday,1179000,2551000
20210509,Sunday,948000,2075000
20210510,Monday,1504000,3652000
20210511,Tuesday,1632000,3759000
20210512,Wednesday,1650000,3742000
20210513,Thursday,1651000,3492000
20210514,Friday,1744000,3779000
20210515,Saturday,1440000,2781000
20210516,Sunday,824000,1941000
20210517,Monday,1644000,3697000
20210518,Tuesday,1794000,3816000
20210519,Wednesday,1885000,3866000
20210520,Thursday,1939000,3854000
20210521,Friday,2007000,3959000
20210522,Saturday,1854000,3008000
20210523,Sunday,1053000,2159000
20210524,Monday,1666000,3679000
20210525,Tuesday,1829000,3821000
20210526,Wednesday,1921000,3890000
20210527,Thursday,2022000,3956000
20210528,Friday,2148000,4037000
20210529,Saturday,1902000,3257000
20210530,Sunday,1415000,2470000
20210531,Monday,1376000,2641000
20210601,Tuesday,1904000,3414000
20210602,Wednesday,1967000,3397000
20210603,Thursday,2047000,3431000
20210604,Friday,2008000,3283000
20210605,Saturday,1800000,3283000
20210606,Sunday,1121000,2285000
20210607,Monday,1742000,3723000
20210608,Tuesday,1925000,3905000
20210609,Wednesday,2000000,3938000
20210610,Thursday,2058000,3936000
20210611,Friday,2103000,4089000
20210612,Saturday,1885000,3313000
20210613,Sunday,1317000,2392000
20210614,Monday,1774000,3771000
20210615,Tuesday,1939000,3907000
20210616,Wednesday,2011000,3919000
20210617,Thursday,2052000,3862000
20210618,Friday,2205000,3834000
20210619,Saturday,1783000,3160000
20210620,Sunday,1146000,2234000
20210621,Monday,1777000,3716000
20210622,Tuesday,2022000,3939000
20210623,Wednesday,2056000,3965000
20210624,Thursday,2113000,3970000
20210625,Friday,2172000,4077000
20210626,Saturday,2049000,3246000
20210627,Sunday,1239000,2235000
20210628,Monday,1828000,3740000
20210629,Tuesday,1876000,3873000
20210630,Wednesday,1891000,3916000
20210701,Thursday,1954000,3978000
20210702,Friday,1979000,4050000
20210703,Saturday,1677000,3258000
20210704,Sunday,1094000,2321000
20210705,Monday,1700000,3811000
20210706,Tuesday,1904000,3807000
20210707,Wednesday,2023000,3961000
20210708,Thursday,1919000,3890000
20210709,Friday,1965000,4035000
20210710,Saturday,1715000,3228000
20210711,Sunday,1514000,2564000
20210712,Monday,1574000,3654000
20210713,Tuesday,1748000,3905000
20210714,Wednesday,1841000,3897000
20210715,Thursday,1883000,3878000
20210716,Friday,1926000,4049000
20210717,Saturday,1625000,3354000
20210718,Sunday,1146000,2415000
20210719,Monday,1614000,3592000
20210720,Tuesday,1711000,3581000
20210721,Wednesday,1808000,3648000
20210722,Thursday,1896000,3637000
20210723,Friday,1934000,3736000
20210724,Saturday,1594000,3068000
20210725,Sunday,1098000,2181000
20210726,Monday,1626000,3342000
20210727,Tuesday,1790000,3382000
20210728,Wednesday,1875000,3341000
20210729,Thursday,2025000,3570000
20210730,Friday,1978000,3519000
20210731,Saturday,1687000,3266000
20210801,Sunday,1246000,2345000
20210802,Monday,1700000,3349000
20210803,Tuesday,1826000,3430000
20210804,Wednesday,1902000,3533000
20210805,Thursday,1895000,3492000
20210806,Friday,1891000,3562000
20210807,Saturday,1715000,3019000
20210808,Sunday,1207000,2276000
20210809,Monday,1628000,3325000
20210810,Tuesday,1889000,3640000
20210811,Wednesday,1963000,3586000
20210812,Thursday,1986000,3644000
20210813,Friday,2027000,3655000
20210814,Saturday,1943000,3279000
20210815,Sunday,1367000,2465000
20210816,Monday,1756000,3406000
20210817,Tuesday,1915000,3442000
20210818,Wednesday,2003000,3569000
20210819,Thursday,2062000,3554000
20210820,Friday,2088000,3675000
20210821,Saturday,1769000,3271000
20210822,Sunday,1328000,2436000
20210823,Monday,1815000,3453000
20210824,Tuesday,1986000,3580000
20210825,Wednesday,2092000,3619000
20210826,Thursday,2126000,3631000
20210827,Friday,2164000,3789000
20210828,Saturday,2004000,3368000
20210829,Sunday,1557000,2620000
20210830,Monday,1435000,2601000
20210831,Tuesday,1946000,3659000
20210901,Wednesday,2081000,3761000
20210902,Thursday,2188000,3950000
20210903,Friday,2215000,4220000
20210904,Saturday,1908000,3551000
20210905,Sunday,1455000,2703000
20210906,Monday,1945000,4220000
20210907,Tuesday,2135000,4305000
20210908,Wednesday,2225000,4367000
20210909,Thursday,2312000,4359000
20210910,Friday,2290000,4488000
20210911,Saturday,2073000,3614000
20210912,Sunday,1347000,2608000
20210913,Monday,2042000,4350000
20210914,Tuesday,2273000,4226000
20210915,Wednesday,2362000,4486000
20210916,Thursday,2428000,4510000
20210917,Friday,2395000,4622000
20210918,Saturday,2095000,3701000
20210919,Sunday,1402000,2576000
20210920,Monday,2136000,4358000
20210921,Tuesday,2404000,4494000
20210922,Wednesday,2577000,4549000
20210923,Thursday,2607000,4560000
20210924,Friday,2630000,4730000
20210925,Saturday,2434000,3738000
20210926,Sunday,1683000,2733000
20210927,Monday,2251000,4450000
20210928,Tuesday,2508000,4602000
20210929,Wednesday,2645000,4694000
20210930,Thursday,2776000,4697000
20211001,Friday,2650000,4692000
20211002,Saturday,2259000,3500000
20211003,Sunday,1892000,2676000
20211004,Monday,2309000,4480000
20211005,Tuesday,2533000,4576000
20211006,Wednesday,2653000,4652000
20211007,Thursday,2742000,4622000
20211008,Friday,2665000,4735000
20211009,Saturday,2336000,3874000
20211010,Sunday,1612000,2687000
20211011,Monday,2344000,4478000
20211012,Tuesday,2688000,4601000
20211013,Wednesday,2709000,4629000
20211014,Thursday,2812000,4658000
20211015,Friday,2714000,4782000
20211016,Saturday,2390000,3678000
20211017,Sunday,1642000,2640000
20211018,Monday,2383000,4378000
20211019,Tuesday,2617000,4507000
20211020,Wednesday,2722000,4539000
20211021,Thursday,2828000,4565000
20211022,Friday,2754000,4589000
20211023,Saturday,2395000,3708000
20211024,Sunday,1660000,2696000
20211025,Monday,2406000,3850000
20211026,Tuesday,2782000,3987000
20211027,Wednesday,2844000,4022000
20211028,Thursday,2944000,4102000
20211029,Friday,2842000,4183000
20211030,Saturday,2495000,3888000
20211031,Sunday,1530000,2693000
20211101,Monday,2378000,4368000
20211102,Tuesday,2675000,4551000
20211103,Wednesday,2786000,4529000
20211104,Thursday,2903000,4604000
20211105,Friday,2797000,4763000
20211106,Saturday,2558000,3829000
20211107,Sunday,1745000,2767000
20211108,Monday,2382000,4485000
20211109,Tuesday,2675000,4649000
20211110,Wednesday,2762000,4649000
20211111,Thursday,2905000,4738000
20211112,Friday,2893000,4838000
20211113,Saturday,2610000,3779000
20211114,Sunday,1669000,2648000
20211115,Monday,2390000,4480000
20211116,Tuesday,2711000,4691000
20211117,Wednesday,2833000,4718000
20211118,Thursday,2950000,4752000
20211119,Friday,2949000,4843000
20211120,Saturday,2667000,3813000
20211121,Sunday,1813000,2734000
20211122,Monday,2461000,4518000
20211123,Tuesday,2816000,4663000
20211124,Wednesday,2900000,4646000
20211125,Thursday,3081000,4765000
20211126,Friday,2232000,5147000
20211127,Saturday,2608000,3678000
20211128,Sunday,1854000,2698000
20211129,Monday,2496000,4461000
20211130,Tuesday,2731000,4634000
20211201,Wednesday,2865000,4680000
20211202,Thursday,3007000,4726000
20211203,Friday,2903000,4788000
20211204,Saturday,2761000,3831000
20211205,Sunday,1806000,2600000
20211206,Monday,2487000,4441000
20211207,Tuesday,2720000,4503000
20211208,Wednesday,2850000,4653000
20211209,Thursday,2938000,4749000
20211210,Friday,2862000,4854000
20211211,Saturday,2635000,3718000
20211212,Sunday,1744000,2677000
20211213,Monday,2177000,4368000
20211214,Tuesday,2213000,4404000
20211215,Wednesday,2259000,4453000
20211216,Thursday,2163000,4319000
20211217,Friday,2106000,4353000
20211218,Saturday,1520000,3560000
20211219,Sunday,1349000,2497000
20211220,Monday,1791000,3565000
20211221,Tuesday,1793000,3554000
20211222,Wednesday,1728000,3535000
20211223,Thursday,1605000,3522000
20211224,Friday,1132000,3080000
20211225,Saturday,0,0
20211226,Sunday,692000,1737000
20211227,Monday,1110000,2238000
20211228,Tuesday,1240000,2416000
20211229,Wednesday,1487000,2968000
20211230,Thursday,1527000,3083000
20211231,Friday,1620000,3230000
